"active_from","active_to","birth_date","college","height","name","position","url","weight","NBA__3ptapg","NBA__3ptpct","NBA__3ptpg","NBA_efgpct","NBA_fg.","NBA_fg_per_game","NBA_fga_per_game","NBA_ft.","NBA_ft_per_g","NBA_fta_p_g","NBA_g_played","NBA_ppg","NCAA__3ptapg","NCAA__3ptpct","NCAA__3ptpg","NCAA_efgpct","NCAA_fgapg","NCAA_fgpct","NCAA_fgpg","NCAA_ft","NCAA_ftapg","NCAA_ftpg","NCAA_games","NCAA_ppg","height.inches"
2006,2009,"January 21, 1983","Pepperdine University","6-5","Alex Acker","G","/players/a/ackeral01.html",185,0.8,0.32,0.3,0.413,0.37,1.1,3.1,0.5,0.2,0.3,30,2.7,3.3,0.411,1.4,NA,11.2,0.457,5.1,0.823,3.5,2.9,88,14.5,77
2007,2009,"June 20, 1984","University of Arizona","6-4","Hassan Adams","G","/players/a/adamsha01.html",220,0,0,0,0.534,0.534,1.1,2,0.643,0.4,0.6,73,2.5,1.9,0.311,0.6,NA,11.6,0.499,5.8,0.704,2.7,1.9,130,14,76
2008,2018,"October 15, 1985","University of California, Los Angeles","6-5","Arron Afflalo","G","/players/a/afflaar01.html",210,2.9,0.386,1.1,0.514,0.449,3.9,8.7,0.825,1.8,2.2,761,10.8,5.4,0.373,2,NA,10.9,0.457,5,0.781,3.6,2.8,104,14.8,77
2007,2011,"February 9, 1984","Michigan State University","6-5","Maurice Ager","G","/players/a/agerma01.html",202,0.5,0.25,0.1,0.368,0.339,0.8,2.3,0.566,0.4,0.6,82,2.1,4.3,0.38,1.6,NA,9.6,0.441,4.2,0.775,3.2,2.5,124,12.5,77
2008,2012,"May 27, 1984","Missouri State University","6-2","Blake Ahearn","G","/players/a/ahearbl01.html",190,2.5,0.298,0.7,0.364,0.273,1.1,4.1,0.97,1.7,1.7,19,4.6,5.2,0.408,2.1,NA,8.9,0.423,3.7,0.946,3.6,3.4,129,13,74
2009,2010,"December 26, 1986","West Virginia University","6-8","Joe Alexander","F","/players/a/alexajo01.html",230,0.7,0.34,0.2,0.442,0.41,1.5,3.7,0.698,0.9,1.3,67,4.2,2.1,0.295,0.6,NA,10,0.447,4.5,0.765,3.3,2.5,82,12.1,80
2005,2018,"January 11, 1982","Butler County Community College, Oklahoma State University","6-4","Tony Allen","G-F","/players/a/allento01.html",213,0.5,0.282,0.2,0.487,0.475,3.2,6.6,0.709,1.7,2.3,820,8.1,2.2,0.347,0.8,NA,11.5,0.477,5.5,0.682,5.2,3.5,67,15.3,76
2008,2008,"February 2, 1981","University of Utah, Weber State University","6-11","Lance Allred","C","/players/a/allrela01.html",250,0,NA,0,0.25,0.25,0.3,1.3,0.5,0.3,0.7,3,1,0.1,0.429,0.1,NA,7.1,0.481,3.4,0.718,3.9,2.8,95,9.7,83
2008,2012,"February 2, 1985","Rice University","6-6","Morris Almond","G","/players/a/almonmo01.html",225,0.6,0.292,0.2,0.412,0.381,1.1,3,0.743,0.7,0.9,38,3.1,2.9,0.435,1.3,NA,10.5,0.492,5.2,0.824,4.2,3.5,121,15.1,78
2007,2016,"December 7, 1982","University of Nevada, Las Vegas","6-9","Lou Amundson","F","/players/a/amundlo01.html",220,0,0,0,0.474,0.474,1.5,3.2,0.444,0.6,1.4,428,3.7,0,0,0,NA,5.4,0.535,2.9,0.503,3,1.5,120,7.2,81
2006,2017,"October 16, 1982","Michigan State University","6-6","Alan Anderson","G-F","/players/a/anderal01.html",220,2.9,0.344,1,0.484,0.405,2.6,6.3,0.816,1.2,1.5,330,7.3,1,0.366,0.4,NA,6.1,0.503,3,0.831,3.6,3,126,9.5,78
2010,2010,"June 5, 1985","University of Memphis","6-6","Antonio Anderson","G","/players/a/anderan02.html",215,0,NA,0,0.333,0.333,1,3,NA,0,0,1,2,3,0.308,0.9,NA,6.9,0.418,2.9,0.648,2.8,1.8,150,8.5,78
2009,2018,"May 6, 1988","University of California","6-10","Ryan Anderson","F","/players/a/anderry01.html",240,5.5,0.382,2.1,0.525,0.423,4.4,10.4,0.855,1.9,2.2,622,12.8,4.7,0.396,1.8,NA,13.1,0.484,6.3,0.841,5,4.2,66,18.7,82
2005,2007,"August 12, 1980","Brigham Young University","6-11","Rafael Araujo","C","/players/a/araujra01.html",280,0,0.25,0,0.406,0.405,1.1,2.8,0.679,0.5,0.8,139,2.8,0.7,0.268,0.2,NA,10.4,0.567,5.9,0.691,4.5,3.1,62,15.1,83
2005,2018,"June 30, 1985","University of California, Los Angeles","6-8","Trevor Ariza","F","/players/a/arizatr01.html",215,3.9,0.354,1.4,0.503,0.425,3.8,8.9,0.723,1.6,2.2,941,10.5,3,0.237,0.7,NA,10,0.426,4.3,0.504,4.5,2.3,25,11.6,80
2007,2014,"November 11, 1984","University of Connecticut","6-11","Hilton Armstrong","C-F","/players/a/armsthi01.html",235,0,0.286,0,0.502,0.501,1.2,2.4,0.582,0.6,1.1,292,3,0,0.333,0,NA,3.1,0.563,1.7,0.578,2.1,1.2,131,4.7,83
2009,2018,"March 25, 1988","University of Kansas","6-9","Darrell Arthur","F","/players/a/arthuda01.html",235,0.9,0.352,0.3,0.47,0.444,2.7,6.2,0.765,0.7,0.9,503,6.5,0.2,0.118,0,NA,8.7,0.541,4.7,0.676,2.7,1.8,78,11.3,81
2009,2018,"November 10, 1987","University of Texas at Austin","6-0","D.J. Augustin","G","/players/a/augusdj01.html",183,3.3,0.376,1.3,0.488,0.406,3.1,7.7,0.863,2.1,2.5,724,9.6,4.1,0.402,1.6,NA,12.2,0.443,5.4,0.808,5.5,4.4,73,16.9,72
2007,2008,"February 27, 1984","University of Illinois at Urbana-Champaign","6-10","James Augustine","F","/players/a/augusja01.html",235,0,NA,0,0.514,0.514,0.7,1.4,0.5,0.1,0.3,27,1.6,0.1,0.333,0,NA,6.3,0.617,3.9,0.687,3.3,2.3,137,10.1,82
2010,2016,"April 29, 1987","Arizona State University","6-9","Jeff Ayres","F","/players/p/pendeje02.html",240,0,0.4,0,0.555,0.553,1.2,2.2,0.776,0.5,0.6,237,2.9,0.1,0,0,NA,8.4,0.58,4.8,0.764,3.8,2.9,126,12.6,81
2007,2012,"December 16, 1983","University of Kentucky","6-5","Kelenna Azubuike","G","/players/a/azubuke01.html",220,2.5,0.409,1,0.519,0.459,3.9,8.4,0.77,1.8,2.3,208,10.5,2.6,0.373,1,NA,7.5,0.485,3.6,0.752,2.3,1.7,97,10,77
2005,2005,"July 28, 1979","Oklahoma State University","6-1","Maurice Baker","G","/players/b/bakerma01.html",175,0,NA,0,0,0,0,0.2,NA,0,0,5,0,4.6,0.391,1.8,NA,11.7,0.481,5.6,0.819,4,3.3,59,16.4,73
2007,2012,"July 14, 1984","University of South Carolina","6-8","Renaldo Balkman","F","/players/b/balkmre01.html",208,0.3,0.172,0,0.518,0.51,1.7,3.3,0.542,0.7,1.2,221,4,0.5,0.291,0.2,NA,5.5,0.553,3,0.533,2.2,1.2,104,7.4,80
2007,2018,"June 26, 1984","Northeastern University","6-0","J.J. Barea","G","/players/b/bareajo01.html",185,2.8,0.354,1,0.486,0.424,3.4,8,0.798,1.1,1.4,764,8.9,7,0.321,2.3,NA,17.1,0.404,6.9,0.764,5.5,4.2,113,20.3,72
2005,2008,"February 21, 1982","Seton Hall University","5-10","Andre Barrett","G","/players/b/barrean01.html",172,1,0.246,0.3,0.405,0.369,1.3,3.6,0.727,0.4,0.5,67,3.3,5.7,0.351,2,NA,12.4,0.415,5.1,0.773,3.9,3,122,15.3,70
2006,2015,"August 14, 1981","University of Memphis","7-0","Earl Barron","C","/players/b/barroea01.html",250,0.1,0.167,0,0.373,0.371,1.8,4.9,0.702,0.9,1.3,140,4.6,0.2,0.174,0,NA,5.9,0.479,2.8,0.685,3.2,2.2,128,7.8,84
2006,2006,"February 15, 1983","University of North Carolina at Charlotte","6-5","Eddie Basden","G","/players/b/basdeed01.html",215,0.4,0.143,0.1,0.419,0.405,0.8,1.9,0.8,0.4,0.5,19,2.1,1,0.353,0.4,NA,6.3,0.491,3.1,0.687,3.6,2.5,118,9,77
2006,2017,"April 30, 1985","Louisiana State University","6-8","Brandon Bass","F","/players/b/bassbr01.html",250,0.1,0.207,0,0.5,0.499,3.4,6.8,0.832,1.9,2.3,758,8.7,0.8,0.378,0.3,NA,9.5,0.54,5.1,0.78,5.8,4.6,59,15.1,80
2009,2018,"August 20, 1988","University of Arizona","6-3","Jerryd Bayless","G","/players/b/bayleje01.html",200,2.3,0.366,0.9,0.474,0.414,3,7.2,0.824,1.7,2.1,552,8.5,4.8,0.407,2,NA,12.6,0.458,5.8,0.839,7.4,6.2,30,19.7,75
2009,2018,"January 9, 1989","Kansas State University","6-9","Michael Beasley","F","/players/b/beaslmi01.html",235,1.4,0.353,0.5,0.486,0.464,5.2,11.1,0.761,1.8,2.4,581,12.7,2.9,0.379,1.1,NA,17.5,0.532,9.3,0.774,8.5,6.5,33,26.2,81
2007,2007,"September 8, 1983","Iowa State University","6-0","Will Blalock","G","/players/b/blalowi01.html",205,0.4,0.2,0.1,0.317,0.3,0.6,2.1,1,0.4,0.4,14,1.8,2.9,0.365,1.1,NA,10,0.421,4.2,0.719,2.9,2.1,93,11.6,72
2005,2005,"October 22, 1979","University of Cincinnati","6-4","Tony Bobbitt","G","/players/b/bobbito01.html",190,1,0.5,0.5,0.5,0.4,1,2.5,NA,0,0,2,2.5,5.7,0.375,2.2,NA,8.8,0.423,3.7,0.839,1.6,1.3,59,10.9,76
2006,2018,"November 28, 1984","University of Utah","7-0","Andrew Bogut","C","/players/b/bogutan01.html",260,0,0.12,0,0.535,0.535,4.3,8,0.556,1.2,2.1,694,9.8,0.5,0.361,0.2,NA,10.9,0.603,6.6,0.674,4.7,3.2,68,16.6,84
2005,2016,"April 5, 1980","University of Florida","6-10","Matt Bonner","F","/players/b/bonnema01.html",235,2.4,0.414,1,0.57,0.464,2.2,4.8,0.78,0.4,0.5,792,5.8,3.2,0.395,1.3,NA,8.8,0.503,4.4,0.74,2.5,1.9,131,12,82
2007,2007,"March 7, 1983","University of California, Los Angeles","6-6","Cedric Bozeman","G","/players/b/bozemce01.html",207,0.6,0.154,0.1,0.308,0.282,0.5,1.7,0.333,0.1,0.3,23,1.1,1.3,0.321,0.4,NA,5.9,0.435,2.6,0.584,1.8,1,106,6.6,78
2008,2018,"March 5, 1986","University of Florida","6-9","Corey Brewer","G-F","/players/b/breweco01.html",186,2.2,0.283,0.6,0.464,0.425,3.4,7.9,0.713,1.5,2.1,781,8.9,2.6,0.356,0.9,NA,8.2,0.48,4,0.708,3.6,2.5,108,11.3,81
2007,2014,"March 20, 1985","University of Arkansas","6-7","Ronnie Brewer","G-F","/players/b/brewero02.html",220,0.7,0.254,0.2,0.505,0.49,3.1,6.3,0.675,1.5,2.2,502,7.8,3.4,0.34,1.2,NA,11.9,0.462,5.5,0.671,5.4,3.6,90,15.7,79
2010,2012,"March 20, 1987","University of Washington","6-7","Jon Brockman","F","/players/b/brockjo01.html",255,0,0,0,0.488,0.488,0.8,1.6,0.618,0.6,0.9,150,2.1,0,0,0,NA,10.3,0.534,5.5,0.612,4.6,2.8,131,13.8,79
2008,2018,"January 14, 1985","University of Oregon","6-0","Aaron Brooks","G","/players/b/brookaa01.html",161,3.4,0.37,1.3,0.488,0.413,3.5,8.5,0.837,1.4,1.7,644,9.7,4.8,0.374,1.8,NA,10.1,0.43,4.3,0.834,3.2,2.7,115,13.1,72
2007,2009,"May 12, 1981","DePaul University","6-9","Andre Brown","F","/players/b/brownan01.html",245,0,0,0,0.516,0.516,1.1,2.1,0.5,0.4,0.9,75,2.6,0,0,0,NA,8.3,0.502,4.2,0.523,4.5,2.3,107,10.7,81
2009,2018,"September 24, 1984","California State University, Fullerton","6-2","Bobby Brown","G","/players/b/brownbo02.html",175,1.9,0.317,0.6,0.446,0.379,1.7,4.5,0.806,0.3,0.4,158,4.4,7,0.377,2.6,NA,13.9,0.428,6,0.789,2.9,2.3,116,16.9,74
2007,2009,"August 17, 1984","University of Illinois at Urbana-Champaign","6-0","Dee Brown","G","/players/b/brownde03.html",185,0.8,0.25,0.2,0.384,0.34,0.7,2.2,0.643,0.4,0.6,68,2.1,6.1,0.36,2.2,NA,11,0.422,4.7,0.725,2.4,1.7,137,13.2,72
2010,2012,"September 8, 1987","Xavier University","6-7","Derrick Brown","F","/players/b/brownde04.html",225,0.2,0.317,0.1,0.525,0.515,2.1,4,0.637,1,1.6,171,5.2,1.2,0.415,0.5,NA,6.5,0.573,3.7,0.718,3.3,2.4,106,10.3,79
2007,2015,"November 29, 1985","Michigan State University","6-4","Shannon Brown","G","/players/b/brownsh01.html",205,2,0.332,0.7,0.468,0.42,2.9,7,0.807,1.1,1.4,408,7.6,3.1,0.364,1.1,NA,9.4,0.457,4.3,0.831,3,2.5,97,12.2,76
2010,2016,"May 22, 1988","University of Arizona","6-7","Chase Budinger","F","/players/b/budinch01.html",209,2.9,0.352,1,0.504,0.43,2.9,6.8,0.797,1,1.3,407,7.9,5,0.383,1.9,NA,12.8,0.469,6,0.782,4,3.1,100,17,79
2005,2006,"February 25, 1980","University of Memphis","6-1","Antonio Burks","G","/players/b/burksan01.html",200,0.2,0.235,0,0.397,0.387,1,2.5,0.571,0.3,0.5,81,2.3,1.7,0.401,0.7,NA,9.2,0.469,4.3,0.673,3,2,91,11.3,73
2006,2006,"April 9, 1979","University of Minnesota","6-3","Kevin Burleson","G","/players/b/burleke01.html",205,1.4,0.185,0.3,0.307,0.25,0.6,2.3,0.941,0.4,0.4,39,1.8,3.6,0.331,1.2,NA,6,0.371,2.2,0.751,1.9,1.4,123,7,75
2006,2015,"January 4, 1983","University of Arizona, Georgia Institute of Technology","6-0","Will Bynum","G","/players/b/bynumwi01.html",185,0.9,0.272,0.2,0.458,0.442,3.1,7,0.799,1.7,2.1,360,8.1,3.9,0.31,1.2,NA,8.1,0.385,3.1,0.739,2.7,2,101,9.4,72
2005,2005,"August 13, 1976","Northwestern University, University of California","6-3","Geno Carlisle","G","/players/c/carlige01.html",180,0,NA,0,0.667,0.667,0.3,0.5,0.667,0.7,1,6,1.3,5.2,0.346,1.8,NA,13.4,0.396,5.3,0.766,5,3.8,108,16.3,75
2007,2011,"April 15, 1984","University of Memphis","6-7","Rodney Carney","F","/players/c/carnero01.html",205,2,0.338,0.7,0.485,0.422,2.3,5.3,0.704,0.8,1.1,299,5.9,6,0.362,2.2,NA,11.9,0.415,5,0.717,3.1,2.2,133,14.3,79
2010,2018,"July 27, 1986","Vanderbilt University, University of Missouri","6-8","DeMarre Carroll","F","/players/c/carrode01.html",215,3.1,0.364,1.1,0.512,0.436,3.2,7.3,0.738,1.4,1.9,487,8.9,0.7,0.281,0.2,NA,8.4,0.535,4.5,0.603,3.5,2.1,134,11.2,80
2005,2005,"November 10, 1980","Xavier University","6-0","Lionel Chalmers","G","/players/c/chalmli01.html",180,1.4,0.245,0.3,0.384,0.336,1.2,3.5,0.625,0.4,0.7,36,3.1,5.1,0.372,1.9,NA,9.8,0.425,4.2,0.716,3.4,2.4,123,12.7,72
2009,2018,"May 19, 1986","University of Kansas","6-2","Mario Chalmers","G","/players/c/chalmma01.html",190,3.3,0.351,1.2,0.498,0.417,3,7.2,0.792,1.7,2.2,644,8.9,3.9,0.419,1.6,NA,8.3,0.486,4,0.767,3.2,2.5,110,12.2,74
2008,2018,"May 10, 1987","DePaul University","6-8","Wilson Chandler","F","/players/c/chandwi01.html",225,3.9,0.341,1.3,0.501,0.445,5.2,11.8,0.769,1.7,2.2,588,13.5,2.6,0.303,0.8,NA,11.4,0.445,5.1,0.659,3,2,59,12.9,80
2005,2014,"June 20, 1983","Stanford University","6-8","Josh Childress","G-F","/players/c/childjo01.html",210,0.8,0.329,0.3,0.542,0.522,3.4,6.6,0.779,2,2.5,391,9.1,3.6,0.335,1.2,NA,10.2,0.438,4.5,0.755,2.8,2.2,86,12.3,80
2010,2015,"January 17, 1988","University of Louisville","6-10","Earl Clark","F","/players/c/clarkea01.html",225,1,0.328,0.3,0.439,0.403,1.7,4.3,0.664,0.6,0.9,261,4.4,1.8,0.298,0.5,NA,8.6,0.467,4,0.64,3.2,2,104,10.6,82
2007,2010,"August 4, 1984","Temple University","6-6","Mardy Collins","G","/players/c/collima01.html",220,0.7,0.299,0.2,0.405,0.38,1.6,4.1,0.599,0.6,1,189,3.9,5,0.292,1.5,NA,14.4,0.399,5.7,0.624,3.9,2.4,125,15.4,78
2010,2018,"August 23, 1987","University of California, Los Angeles","6-0","Darren Collison","G","/players/c/collida01.html",175,2.2,0.392,0.9,0.516,0.472,4.7,9.9,0.855,2.4,2.8,631,12.7,2.7,0.435,1.2,NA,8.3,0.475,4,0.851,2.9,2.5,142,11.5,72
2005,2018,"October 26, 1980","University of Kansas","6-10","Nick Collison","F","/players/c/collini01.html",255,0.1,0.208,0,0.536,0.534,2.4,4.6,0.725,1,1.4,908,5.9,0.5,0.359,0.2,NA,10.7,0.562,6,0.624,4,2.5,142,14.8,82
2008,2018,"October 11, 1987","Ohio State University","6-1","Mike Conley","G","/players/c/conlemi01.html",175,3.4,0.377,1.3,0.497,0.441,5.1,11.6,0.814,2.7,3.3,718,14.3,1.8,0.304,0.5,NA,7.9,0.518,4.1,0.694,3.7,2.6,39,11.3,73
2007,2013,"December 8, 1982","University of Washington","6-2","Will Conroy","G","/players/c/conrowi01.html",195,0.4,0,0,0.136,0.136,0.2,1.4,0.125,0.1,0.5,16,0.4,2.6,0.331,0.9,NA,6.8,0.445,3,0.73,3.2,2.3,121,9.2,74
2008,2013,"April 28, 1987","Ohio State University","6-5","Daequan Cook","G","/players/c/cookda02.html",205,3.8,0.359,1.3,0.476,0.369,2.3,6.3,0.813,0.5,0.6,328,6.4,3.3,0.415,1.4,NA,8.1,0.445,3.6,0.697,1.7,1.2,39,9.8,77
2009,2009,"June 17, 1986","University of Kentucky","6-5","Joe Crawford","F","/players/c/crawfjo01.html",210,2,0.25,0.5,0.35,0.3,1.5,5,1,1,1,2,4.5,4.2,0.35,1.5,NA,9.2,0.438,4,0.702,2.6,1.8,127,11.3,77
2008,2009,"December 31, 1987","Georgia Institute of Technology","6-5","Javaris Crittenton","G","/players/c/crittja01.html",200,0.5,0.231,0.1,0.454,0.442,2,4.6,0.638,1.1,1.7,113,5.3,3.2,0.356,1.1,NA,11,0.45,4.9,0.783,4.3,3.4,32,14.4,77
2010,2018,"April 22, 1987","Villanova University","6-8","Dante Cunningham","F","/players/c/cunnida01.html",230,0.9,0.332,0.3,0.495,0.469,2.6,5.6,0.645,0.6,0.9,649,6,0,0.333,0,NA,7.1,0.524,3.7,0.693,3.2,2.2,139,9.6,80
2010,2010,"January 7, 1986","Oklahoma State University","6-3","JamesOn Curry","G","/players/c/curryja01.html",190,0,NA,0,NA,NA,0,0,NA,0,0,1,0,4.8,0.404,2,NA,10.7,0.437,4.7,0.758,2.9,2.2,101,13.5,75
2010,2018,"March 14, 1988","Davidson College","6-3","Stephen Curry","G","/players/c/curryst01.html",190,7.8,0.436,3.4,0.579,0.477,8,16.8,0.903,3.6,4,625,23.1,9.7,0.412,4,NA,17.9,0.467,8.4,0.876,5.3,4.6,104,25.3,75
2005,2005,"April 1, 1982","University of Kentucky","6-8","Erik Daniels","F","/players/d/danieer01.html",214,0.1,0.5,0,0.361,0.333,0.3,0.9,NA,0,0,21,0.6,0.6,0.26,0.1,NA,6.3,0.559,3.5,0.611,1.8,1.1,127,8.3,80
2008,2009,"November 15, 1984","University of Alabama","6-10","Jermareo Davidson","F","/players/d/davidje01.html",230,0,NA,0,0.425,0.425,1.3,3.1,0.578,0.5,0.9,52,3.1,0.2,0.211,0,NA,8.1,0.467,3.8,0.717,3.5,2.5,126,10.1,82
2008,2015,"January 1, 1986","Louisiana State University","6-9","Glen Davis","C-F","/players/d/davisgl01.html",289,0.1,0.182,0,0.448,0.447,3.1,7,0.7,1.7,2.4,514,8,0.9,0.31,0.3,NA,12,0.496,6,0.694,6.5,4.5,95,16.7,81
2007,2010,"July 21, 1984","Michigan State University","6-11","Paul Davis","C","/players/d/davispa01.html",270,0,0,0,0.402,0.402,1.1,2.7,0.732,0.5,0.7,82,2.6,0.4,0.271,0.1,NA,8.8,0.538,4.7,0.763,4.8,3.7,130,13.2,83
2010,2015,"June 5, 1988","Gonzaga University","6-11","Austin Daye","F","/players/d/dayeau01.html",220,1.8,0.351,0.6,0.469,0.402,1.9,4.8,0.778,0.7,0.9,293,5.2,2.2,0.422,0.9,NA,8.6,0.477,4.1,0.79,3.1,2.5,67,11.6,83
2005,2018,"April 16, 1985","Duke University","6-9","Luol Deng","F","/players/d/denglu01.html",220,2.2,0.332,0.7,0.484,0.455,5.8,12.7,0.77,2.7,3.6,880,15,3,0.36,1.1,NA,11.9,0.476,5.7,0.71,3.7,2.6,37,15.1,81
2010,2018,"August 7, 1989","University of Southern California","6-7","DeMar DeRozan","G-F","/players/d/derozde01.html",221,1.7,0.289,0.5,0.463,0.448,7,15.6,0.827,5.2,6.3,673,19.7,1,0.167,0.2,NA,10.5,0.523,5.5,0.646,4.2,2.7,35,13.9,79
